Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Date,Created,Updated
Crete,Greece,2UBPC,2022-05,2024-05,ARMS_Crete_2UBPC_00000000_00000000,0,0,0,0,2021-12-03 10:18:34.072665+00:00,2022-04-26 13:03:40.840571+00:00
Crete,Greece,2UBPC,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,0,0,0,164,2019-11-11 20:44:41.630977+00:00,2022-01-10 20:44:33.641086+00:00
Crete,Greece,2UBPC,2020-11-20,2022-05,ARMS_Crete_2UBPC_20201120_00000000,0,0,0,0,2020-12-16 23:19:20.662107+00:00,2022-04-26 13:02:55.755201+00:00
Crete,Greece,1HERP,2019-06-12,2019-10-11,ARMS_Crete_1HERP_20190612_20191011,0,0,0,156,2019-11-11 20:42:37.992002+00:00,2021-11-23 19:57:16.545877+00:00
Crete,Greece,1HERP,2019-06-12,2020-06-18,ARMS_Crete_1HERP_20190612_20200618,0,0,0,175,2019-11-14 12:06:28.965224+00:00,2022-01-10 18:46:38.139249+00:00
Crete,Greece,1HERP,2020-09-03,2021-06-25,ARMS_Crete_1HERP_20200903_20210625,0,0,0,177,2020-12-16 23:11:43.243463+00:00,2022-01-10 19:53:31.311988+00:00
Crete,Greece,1HERP,2020-09-03,2021-01-22,ARMS_Crete_1HERP_20200903_20210122,0,0,0,163,2020-12-16 23:11:09.937808+00:00,2022-01-10 19:20:30.534402+00:00
Crete,Greece,1HERP,2020-09-03,2021-10-12,ARMS_Crete_1HERP_20200903_20211012,0,0,0,171,2020-12-16 23:12:20.347368+00:00,2022-01-10 20:10:03.953027+00:00
Crete,Greece,1HERP,2018-09-28,2019-01-28,ARMS_Crete_1HERP_20180928_20190128,0,0,0,140,2019-11-11 20:41:50.503637+00:00,2021-11-23 19:57:32.586284+00:00
Crete,Greece,1HERP,2019-06-12,2020-02-10,ARMS_Crete_1HERP_20190612_20200210,0,0,0,157,2019-11-14 12:05:25.104508+00:00,2021-11-23 19:56:03.524580+00:00
