Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Date,Created,Updated
Gulf_of_Piran,Slovenia,to delete,2020-06-22,2021-05,ARMS_Gulf_of_Piran_to delete_20200622_00000000,0,0,0,0,2020-12-16 21:55:37.521610+00:00,2020-12-16 22:00:41.006363+00:00
Gulf_of_Piran,Slovenia,Fornace,2018-08-15,2018-11-18,ARMS_Gulf_of_Piran_Fornace_20180815_20181118,0,0,0,154,2019-11-11 14:21:25.161279+00:00,2020-04-27 09:48:58.348245+00:00
Gulf_of_Piran,Slovenia,Fornace,2018-08-15,2019-02-15,ARMS_Gulf_of_Piran_Fornace_20180815_20190215,0,0,0,179,2020-03-16 10:50:44.202808+00:00,2020-04-14 06:22:56.176325+00:00
Gulf_of_Piran,Slovenia,Fornace,2019-07-02,2020-01-27,ARMS_Gulf_of_Piran_Fornace_20190702_20200127,0,0,0,127,2020-03-23 15:07:53.856130+00:00,2020-04-22 09:52:19.245844+00:00
Gulf_of_Piran,Slovenia,Fornace,2019-07-02,2020-01-27,ARMS_Gulf_of_Piran_Fornace_20190702_20200127,0,0,0,0,2020-03-23 15:15:01.963808+00:00,2022-03-04 12:31:20.236535+00:00
Gulf_of_Piran,Slovenia,Luka KP,2020-10-22,2021-02-23,ARMS_Gulf_of_Piran_Luka KP_20201022_20210223,0,0,0,0,2021-03-22 21:31:27.321989+00:00,2021-03-22 21:31:27.610302+00:00
Gulf_of_Piran,Slovenia,Luka KP,2020-06-22,2020-10-20,ARMS_Gulf_of_Piran_Luka KP_20200622_20201020,0,0,0,0,2020-12-16 21:53:28.392424+00:00,2021-03-22 21:28:33.755700+00:00
Gulf_of_Piran,Slovenia,Luka KP,2021-02-23,2021-06-22,ARMS_Gulf_of_Piran_Luka KP_20210223_20210622,0,0,0,0,2021-03-22 21:32:30.557592+00:00,2022-03-04 12:34:13.136726+00:00
Gulf_of_Piran,Slovenia,Luka KP,2022-02-28,,ARMS_Gulf_of_Piran_Luka KP_00000000_00000000,0,0,0,0,2022-03-04 12:41:53.284312+00:00,2022-03-04 12:41:53.284496+00:00
Gulf_of_Piran,Slovenia,Luka KP,2021-06-22,2021-10-27,ARMS_Gulf_of_Piran_Luka KP_20210622_20211027,0,0,0,0,2022-03-04 12:40:37.128590+00:00,2022-03-04 12:40:37.128713+00:00
Gulf_of_Piran,Slovenia,Luka KP,2021-10-27,2022-02-28,ARMS_Gulf_of_Piran_Luka KP_20211027_20220228,0,0,0,0,2022-03-04 12:41:07.250871+00:00,2022-03-04 12:41:20.179452+00:00
Gulf_of_Piran,Slovenia,Boja Vida,2019-07-11,2020-01-31,ARMS_Gulf_of_Piran_Boja Vida_20190711_20200131,0,0,0,145,2020-03-23 15:19:43.248985+00:00,2020-04-22 09:52:22.304798+00:00
Gulf_of_Piran,Slovenia,Boja Vida,2019-07-11,2020-06-11,ARMS_Gulf_of_Piran_Boja Vida_20190711_20200611,0,0,0,0,2020-03-23 15:21:12.987245+00:00,2021-03-22 21:23:41.057785+00:00
Gulf_of_Piran,Slovenia,Boja Vida,2020-06-11,2021-07-28,ARMS_Gulf_of_Piran_Boja Vida_20200611_20210728,0,0,0,0,2021-03-22 21:24:52.663327+00:00,2022-03-04 11:14:47.155410+00:00
Gulf_of_Piran,Slovenia,Boja Vida,2021-07-28,,ARMS_Gulf_of_Piran_Boja Vida_00000000_00000000,0,0,0,0,2022-03-04 11:15:46.253227+00:00,2022-03-04 11:15:46.253332+00:00
