Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Date,Created,Updated
Limfjord,Denmark,Green33,2019-06-18,2019-10-29,ARMS_Limfjord_Green33_20190618_20191029,3,0,376,28,2019-11-11 22:03:28.583172+00:00,2020-04-08 21:16:14.453541+00:00
Limfjord,Denmark,Green33,2020-11-10,2021-10,ARMS_Limfjord_Green33_20201110_00000000,0,0,0,0,2020-12-16 23:51:11.602749+00:00,2020-12-16 23:51:11.768198+00:00
Limfjord,Denmark,Green33,2019-10-29,2020-11-10,ARMS_Limfjord_Green33_20191029_20201110,0,0,0,24,2019-11-11 22:04:15.635797+00:00,2020-12-19 20:00:09.226944+00:00
Limfjord,Denmark,Red2,2019-06-18,2019-10-29,ARMS_Limfjord_Red2_20190618_20191029,3,0,224,56,2019-11-11 22:08:00.914347+00:00,2020-04-08 21:16:58.528429+00:00
Limfjord,Denmark,Red2,2020-11-10,2021-10,ARMS_Limfjord_Red2_20201110_00000000,0,0,0,0,2020-12-16 23:51:53.901665+00:00,2020-12-16 23:51:54.113461+00:00
Limfjord,Denmark,Red2,2019-10-29,2020-11-10,ARMS_Limfjord_Red2_20191029_20201110,0,0,0,21,2019-11-11 22:10:22.971873+00:00,2020-12-19 20:00:44.690690+00:00
Limfjord,Denmark,Yellow8,2019-06-18,2019-10-29,ARMS_Limfjord_Yellow8_20190618_20191029,3,0,677,99,2019-11-11 21:54:35.063156+00:00,2020-04-08 21:15:37.519565+00:00
Limfjord,Denmark,Yellow8,2019-10-29,2020-11-10,ARMS_Limfjord_Yellow8_20191029_20201110,0,0,0,0,2019-11-11 21:56:56.980692+00:00,2020-12-19 19:58:58.710285+00:00
Limfjord,Denmark,Yellow8,2019-10-29,2019-10-29T11:00:00Z,ARMS_Limfjord_Yellow8_20191029_00000000,0,0,0,0,2020-01-03 18:24:15.776212+00:00,2020-01-03 18:24:16.257475+00:00
Limfjord,Denmark,Yellow8,2020-11-10,2021-10,ARMS_Limfjord_Yellow8_20201110_00000000,0,0,0,0,2020-12-16 23:52:45.153515+00:00,2020-12-16 23:52:45.300403+00:00
