Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Date,Created,Updated
Roscoff,France,BasBloS1,2018-07-11,2018-10-25,ARMS_Roscoff_BasBloS1_20180711_20181025,0,0,0,0,2019-11-05 14:05:37.058266+00:00,2019-12-04 17:11:11.439414+00:00
Roscoff,France,BasBloS1,2019-06-12,2020-05-27,ARMS_Roscoff_BasBloS1_20190612_20200527,0,0,0,0,2019-11-05 14:07:01.705894+00:00,2020-12-15 10:08:32.394060+00:00
Roscoff,France,BasBloS1,2020-05-29,2021-05,ARMS_Roscoff_BasBloS1_20200529_00000000,0,0,0,0,2020-12-15 10:09:36.715437+00:00,2020-12-15 10:09:36.854712+00:00
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,0,0,0,18,2019-11-05 14:08:27.745786+00:00,2019-12-04 17:02:36.081310+00:00
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,0,0,0,18,2019-11-05 14:08:47.120181+00:00,2019-12-04 17:03:45.579676+00:00
Roscoff,France,MarBloR1,2020-06-12,2020-09-08,ARMS_Roscoff_MarBloR1_20200612_20200908,0,0,0,0,2020-12-15 09:54:46.012723+00:00,2020-12-15 09:54:46.215293+00:00
Roscoff,France,MarBloR3,2019-06-12,2019-09-18,ARMS_Roscoff_MarBloR3_20190612_20190918,0,0,0,18,2019-11-25 09:09:40.943624+00:00,2020-12-15 10:02:48.427349+00:00
Roscoff,France,MarBloR3,2020-06-12,2020-09-10,ARMS_Roscoff_MarBloR3_20200612_20200910,0,0,0,0,2020-12-15 10:02:15.532161+00:00,2020-12-15 10:02:15.710553+00:00
Roscoff,France,MarBloR2,2019-06-12,2019-09-17,ARMS_Roscoff_MarBloR2_20190612_20190917,0,0,0,18,2019-11-25 09:08:29.850964+00:00,2019-12-04 17:05:17.018113+00:00
Roscoff,France,MarBloR2,2020-06-12,2020-09-09,ARMS_Roscoff_MarBloR2_20200612_20200909,0,0,0,0,2020-12-15 09:59:32.452136+00:00,2020-12-15 09:59:32.667372+00:00
Roscoff,France,BasBloS3,2019-06-12,2020-05-29,ARMS_Roscoff_BasBloS3_20190612_20200529,0,0,0,0,2019-11-25 09:56:12.842883+00:00,2020-12-15 10:14:52.686834+00:00
Roscoff,France,BasBloS3,2020-05-29,2021-05,ARMS_Roscoff_BasBloS3_20200529_00000000,0,0,0,0,2020-12-15 12:20:25.302579+00:00,2020-12-15 12:20:25.520827+00:00
Roscoff,France,BasBloS2,2020-05-29,2021-05,ARMS_Roscoff_BasBloS2_20200529_00000000,0,0,0,0,2020-12-15 10:13:52.012433+00:00,2020-12-15 10:13:52.163238+00:00
Roscoff,France,BasBloS2,2019-06-12,2020-05-28,ARMS_Roscoff_BasBloS2_20190612_20200528,0,0,0,0,2019-11-25 09:55:01.461030+00:00,2020-12-15 10:12:08.326621+00:00
