Material_Sample_ID,Parent_Event_ID,Description,Created_At,Updated_At,Sequences,Associated data
ARMS_SWC_Gbg4_20200206_20200529_MF100,ARMS_Swedish_West_coast_Gbg4_20200206_20200529,,2021-04-30 22:35:27.935954+00:00,2021-04-30 22:35:28.228762+00:00,181,18
ARMS_SWC_Gbg4_20200206_20200529_MF500,ARMS_Swedish_West_coast_Gbg4_20200206_20200529,,2021-04-30 22:36:13.943745+00:00,2021-04-30 22:36:14.276742+00:00,53,18
ARMS_SWC_Gbg4_20200206_20200529_SF40,ARMS_Swedish_West_coast_Gbg4_20200206_20200529,,2021-04-30 22:36:58.983751+00:00,2021-04-30 22:36:59.309671+00:00,179,18
ARMS_SWC_Bjorko1_20200131_20200518_MF100,ARMS_Swedish_West_coast_Bjorko1_20200131_20200518,,2021-04-30 22:26:09.793413+00:00,2021-04-30 22:26:10.181877+00:00,133,36
ARMS_SWC_Bjorko1_20200131_20200518_SF40,ARMS_Swedish_West_coast_Bjorko1_20200131_20200518,,2021-04-30 22:27:06.800318+00:00,2021-04-30 22:27:07.081814+00:00,136,36
ARMS_SWC_Bjorko1_20200131_20200518_MF500,ARMS_Swedish_West_coast_Bjorko1_20200131_20200518,,2021-05-14 22:22:45.821660+00:00,2021-05-14 22:22:46.152593+00:00,26,36
ARMS_SWC_Hjuvik1_20200131_20200518_MF500,ARMS_Swedish_West_coast_Hjuvik1_20200131_20200518,,2021-04-30 22:43:39.278556+00:00,2021-04-30 22:43:39.654481+00:00,74,28
ARMS_SWC_Hjuvik1_20200131_20200518_MF100,ARMS_Swedish_West_coast_Hjuvik1_20200131_20200518,,2021-04-30 22:42:50.740895+00:00,2021-04-30 22:42:51.065587+00:00,250,28
ARMS_SWC_Hjuvik1_20200131_20200518_SF40,ARMS_Swedish_West_coast_Hjuvik1_20200131_20200518,,2021-04-30 22:44:25.999445+00:00,2021-04-30 22:44:26.346748+00:00,172,28
ARMS_SWC_Gbg1_20200206_20200520_MF500,ARMS_Swedish_West_coast_Gbg1_20200206_20200520,,2021-04-30 22:28:10.098494+00:00,2021-04-30 22:28:10.401803+00:00,326,44
ARMS_SWC_Gbg1_20200206_20200520_SF40,ARMS_Swedish_West_coast_Gbg1_20200206_20200520,,2021-04-30 22:29:09.675297+00:00,2021-04-30 22:29:09.969612+00:00,247,44
ARMS_SWC_Gbg1_20200206_20200520_MF100,ARMS_Swedish_West_coast_Gbg1_20200206_20200520,,2021-05-14 22:25:06.775919+00:00,2021-05-14 22:25:07.134996+00:00,76,44
ARMS_SWC_Gbg2_20200206_20200520_MF100,ARMS_Swedish_West_coast_Gbg2_20200206_20200520,,2021-04-30 22:30:32.921105+00:00,2021-04-30 22:30:33.262957+00:00,168,24
