Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Date,Created,Updated
Swedish_West_coast,Sweden,Gbg4,2020-02-06,2020-05-29,ARMS_Swedish_West_coast_Gbg4_20200206_20200529,3,0,413,18,2020-02-06 12:39:27.844484+00:00,2021-12-10 14:36:02.789548+00:00
Swedish_West_coast,Sweden,Bjorko1,2020-01-31,2020-05-18,ARMS_Swedish_West_coast_Bjorko1_20200131_20200518,3,0,295,36,2020-01-31 15:20:09.523559+00:00,2021-12-10 14:02:43.005520+00:00
Swedish_West_coast,Sweden,Hjuvik1,2020-01-31,2020-05-18,ARMS_Swedish_West_coast_Hjuvik1_20200131_20200518,3,0,496,28,2020-01-31 15:12:38.802835+00:00,2021-12-10 14:03:12.639203+00:00
Swedish_West_coast,Sweden,Gbg1,2020-02-06,2020-05-20,ARMS_Swedish_West_coast_Gbg1_20200206_20200520,3,0,649,44,2020-02-06 12:32:43.334556+00:00,2021-12-10 14:03:49.472887+00:00
Swedish_West_coast,Sweden,Gbg2,2020-02-06,2020-05-20,ARMS_Swedish_West_coast_Gbg2_20200206_20200520,3,0,327,24,2020-02-06 12:34:58.551852+00:00,2021-12-10 13:45:13.964380+00:00
Swedish_West_coast,Sweden,Gbg3,2020-02-06,2020-05-29,ARMS_Swedish_West_coast_Gbg3_20200206_20200529,3,0,698,21,2020-02-06 12:37:14.863798+00:00,2021-12-10 13:57:19.492865+00:00
Swedish_West_coast,Sweden,Varberg1,2020-02-13,2020-06-03,ARMS_Swedish_West_coast_Varberg1_20200213_20200603,3,0,413,23,2020-02-19 12:49:32.413306+00:00,2021-12-10 14:02:05.532196+00:00
Swedish_West_coast,Sweden,Varberg2,2020-02-13,2020-06-03,ARMS_Swedish_West_coast_Varberg2_20200213_20200603,3,0,573,21,2020-02-19 12:52:53.703362+00:00,2021-12-10 14:01:48.605677+00:00
Swedish_West_coast,Sweden,Varberg3,2020-02-13,2020-06-03,ARMS_Swedish_West_coast_Varberg3_20200213_20200603,3,0,642,26,2020-02-19 13:00:08.676453+00:00,2021-12-10 14:01:30.971225+00:00
Swedish_West_coast,Sweden,Marstrand2,2020-02-28,2020-05-27,ARMS_Swedish_West_coast_Marstrand2_20200228_20200527,3,0,614,21,2020-03-03 14:23:47.514778+00:00,2021-12-10 14:01:04.146053+00:00
Swedish_West_coast,Sweden,Marstrand3,2020-02-28,2020-05-27,ARMS_Swedish_West_coast_Marstrand3_20200228_20200527,3,0,651,19,2020-03-03 14:29:33.123850+00:00,2021-12-10 14:00:37.690228+00:00
Swedish_West_coast,Sweden,Helsingborg1,2020-03-05,2020-06-04,ARMS_Swedish_West_coast_Helsingborg1_20200305_20200604,3,0,474,23,2020-03-05 23:02:08.652886+00:00,2021-12-10 14:00:10.272040+00:00
Swedish_West_coast,Sweden,Helsingborg2,2020-03-05,2020-06-04,ARMS_Swedish_West_coast_Helsingborg2_20200305_20200604,3,0,594,23,2020-03-05 23:03:47.823156+00:00,2021-12-10 13:59:46.870268+00:00
Swedish_West_coast,Sweden,Marstrand1,2020-02-28,2020-05-27,ARMS_Swedish_West_coast_Marstrand1_20200228_20200527,3,0,491,18,2020-03-03 14:15:05.407650+00:00,2021-12-10 13:59:18.145540+00:00
Swedish_West_coast,Sweden,Preemraff2,2020-04-01,2020-07-15,ARMS_Swedish_West_coast_Preemraff2_20200401_20200715,3,0,703,21,2020-04-27 10:49:22.366093+00:00,2021-12-10 14:04:36.102950+00:00
Swedish_West_coast,Sweden,Preemraff1,2020-04-01,2020-07-15,ARMS_Swedish_West_coast_Preemraff1_20200401_20200715,3,0,350,19,2020-04-27 10:45:28.575915+00:00,2021-12-10 08:48:49.750427+00:00
