Material_Sample_ID,Parent_Event_ID,Description,Created_At,Updated_At,Sequences,Associated data
ARMS_Koster_VH1_20180418_20190527_MF100,ARMS_Koster_VH1_20180418_20190527,,2021-04-30 21:55:52.636429+00:00,2021-04-30 21:55:53.610598+00:00,591,117
ARMS_Koster_VH1_20180418_20190527_MF500,ARMS_Koster_VH1_20180418_20190527,,2021-04-30 21:57:37.993309+00:00,2021-04-30 21:57:38.271166+00:00,249,117
ARMS_Koster_VH1_20180418_20190527_SF40,ARMS_Koster_VH1_20180418_20190527,,2021-04-30 21:59:51.535309+00:00,2021-04-30 21:59:51.789742+00:00,489,117
ARMS_Koster_VH1_20190527_20200716_MF100,ARMS_Koster_VH1_20190527_20200716,,2021-04-30 22:01:11.823505+00:00,2021-04-30 22:01:12.103824+00:00,449,36
ARMS_Koster_VH1_20190527_20200716_SF40,ARMS_Koster_VH1_20190527_20200716,,2021-04-30 22:02:07.084250+00:00,2021-04-30 22:02:07.369587+00:00,75,36
ARMS_Koster_VH1_20190527_20200716_MF500,ARMS_Koster_VH1_20190527_20200716,,2021-05-14 21:55:46.362746+00:00,2021-05-14 21:55:47.332144+00:00,56,36
ARMS_Koster_VH3_20180418_20190527_MF100,ARMS_Koster_VH3_20180418_20190527,,2021-04-30 22:12:17.719387+00:00,2021-04-30 22:12:17.973198+00:00,350,109
ARMS_Koster_VH3_20180418_20190527_MF500,ARMS_Koster_VH3_20180418_20190527,,2021-04-30 22:13:10.643030+00:00,2021-04-30 22:13:10.947605+00:00,144,109
ARMS_Koster_VH3_20190527_20200716_MF100,ARMS_Koster_VH3_20190527_20200716,,2021-04-30 22:15:02.034374+00:00,2021-04-30 22:15:02.378896+00:00,128,31
ARMS_Koster_VH3_20190527_20200716_SF40,ARMS_Koster_VH3_20190527_20200716,,2021-04-30 22:16:11.479031+00:00,2021-04-30 22:16:11.802914+00:00,179,31
ARMS_Koster_VH3_20190527_20200716_MF500,ARMS_Koster_VH3_20190527_20200716,,2021-05-14 22:08:13.505679+00:00,2021-05-14 22:08:13.873553+00:00,91,31
ARMS_Koster_VH2_20190527_20200716_MF100,ARMS_Koster_VH2_20190527_20200716,,2021-04-30 22:08:43.354872+00:00,2021-04-30 22:08:43.710190+00:00,282,27
ARMS_Koster_VH2_20190527_20200716_MF500,ARMS_Koster_VH2_20190527_20200716,,2021-04-30 22:09:39.623977+00:00,2021-04-30 22:09:39.919327+00:00,163,27
ARMS_Koster_VH2_20190527_20200716_SF40,ARMS_Koster_VH2_20190527_20200716,,2021-04-30 22:10:56.541852+00:00,2021-04-30 22:10:56.831558+00:00,206,27
Koster_VH2_20180418_20180906_SS100_DMSO,ARMS_Koster_VH2_20180418_20180906,Sediment (100 um) preserved in DMSO,2019-09-06 21:16:24.308476+00:00,2021-04-27 08:10:34.247371+00:00,0,76
ARMS_Koster_VH2_20180418_20180906_MF500_ETOH,ARMS_Koster_VH2_20180418_20180906,Motile fraction (500 um) preserved in EtOH,2019-09-06 21:15:43.757605+00:00,2021-04-29 14:07:36.452227+00:00,299,76
ARMS_Koster_VH2_20180418_20180906_SF40_ETOH,ARMS_Koster_VH2_20180418_20180906,"Sessile fraction, grainded in blender, preserved in EtOH",2019-09-06 21:13:15.384150+00:00,2021-04-29 14:11:11.454663+00:00,211,76
ARMS_Koster_VH2_20180418_20180906_SF40_DMSO,ARMS_Koster_VH2_20180418_20180906,"Sessile fraction, grainded in blender, preserved in DMSO",2019-09-03 10:20:29.772801+00:00,2021-04-30 23:39:53.254217+00:00,0,76
Koster_VH2_20180418_20180906_SS500_DMSO,ARMS_Koster_VH2_20180418_20180906,Sediment (500 um) preserved in DMSO,2019-09-06 21:16:56.487144+00:00,2021-04-27 08:09:38.407919+00:00,0,76
ARMS_Limfjord_Green33_20190618_20191029_MF100,ARMS_Limfjord_Green33_20190618_20191029,,2021-04-30 22:17:43.631990+00:00,2021-04-30 22:17:43.939083+00:00,157,28
ARMS_Limfjord_Green33_20190618_20191029_MF500,ARMS_Limfjord_Green33_20190618_20191029,,2021-04-30 22:18:36.219621+00:00,2021-04-30 22:18:36.482497+00:00,130,28
ARMS_Limfjord_Green33_20190618_20191029_SF40,ARMS_Limfjord_Green33_20190618_20191029,,2021-04-30 22:19:31.536903+00:00,2021-04-30 22:19:31.806717+00:00,89,28
ARMS_Limfjord_Red2_20190618_20191029_MF100,ARMS_Limfjord_Red2_20190618_20191029,,2021-04-30 22:20:41.910349+00:00,2021-04-30 22:20:42.210842+00:00,167,56
ARMS_Limfjord_Red2_20190618_20191029_MF500,ARMS_Limfjord_Red2_20190618_20191029,,2021-04-30 22:21:25.586649+00:00,2021-04-30 22:21:25.844771+00:00,57,56
ARMS_Limfjord_Red2_20190618_20191029_SF40,ARMS_Limfjord_Red2_20190618_20191029,,2021-05-14 22:16:04.680438+00:00,2021-05-14 22:16:04.680505+00:00,0,56
ARMS_Limfjord_Yellow8_20190618_20191029_MF100,ARMS_Limfjord_Yellow8_20190618_20191029,,2021-04-30 22:22:29.227440+00:00,2021-04-30 22:22:29.472193+00:00,283,99
ARMS_Limfjord_Yellow8_20190618_20191029_MF500,ARMS_Limfjord_Yellow8_20190618_20191029,,2021-04-30 22:23:26.133222+00:00,2021-04-30 22:23:26.412503+00:00,285,99
ARMS_Limfjord_Yellow8_20190618_20191029_SF40,ARMS_Limfjord_Yellow8_20190618_20191029,,2021-04-30 22:24:40.202660+00:00,2021-04-30 22:24:40.481407+00:00,109,99
ARMS_Bodo_GStraB_190621-201207_SF500,ARMS_Bodo_GStraB_20190621_20201207,: Sessile fraction/500 µm (SF500),2021-06-25 12:00:56.915503+00:00,2021-06-28 05:07:11.908489+00:00,0,21
ARMS_Bodo_GStraB_190621-201207_SF50_A,ARMS_Bodo_GStraB_20190621_20201207,Sessile fraction/50 µm (SF50); NOTE: 40 µm was not possible,2021-06-25 12:41:49.574361+00:00,2021-06-28 05:06:09.671164+00:00,0,21
ARMS_Bodo_GStraB_190621-201207_SF100,ARMS_Bodo_GStraB_20190621_20201207,Sessile fraction/100 µm (SF100),2021-06-25 12:02:02.795180+00:00,2021-06-28 05:06:47.371754+00:00,0,21
ARMS_Bodo_GStraM_190621-201207_SF100,ARMS_Bodo_GStraM_20190621_20201207,,2021-06-25 09:29:53.355705+00:00,2021-06-28 05:08:08.360688+00:00,0,21
ARMS_Bodo_GStraM_190621-201207_SF50_A,ARMS_Bodo_GStraM_20190621_20201207,Sessile fraction/50 µm (SF50); NOTE: 40µm was not possible,2021-06-25 09:31:00.296260+00:00,2021-06-28 05:07:51.864411+00:00,0,21
ARMS_Bodo_GStraM_190621-201207_SF500,ARMS_Bodo_GStraM_20190621_20201207,Sessile fraction/500 µm (SF500),2021-06-25 09:28:42.399487+00:00,2021-06-28 05:08:35.814657+00:00,0,21
ARMS_SWC_Gbg4_20200206_20200529_MF100,ARMS_Swedish_West_coast_Gbg4_20200206_20200529,,2021-04-30 22:35:27.935954+00:00,2021-04-30 22:35:28.228762+00:00,181,18
ARMS_SWC_Gbg4_20200206_20200529_MF500,ARMS_Swedish_West_coast_Gbg4_20200206_20200529,,2021-04-30 22:36:13.943745+00:00,2021-04-30 22:36:14.276742+00:00,53,18
ARMS_SWC_Gbg4_20200206_20200529_SF40,ARMS_Swedish_West_coast_Gbg4_20200206_20200529,,2021-04-30 22:36:58.983751+00:00,2021-04-30 22:36:59.309671+00:00,179,18
ARMS_SWC_Bjorko1_20200131_20200518_MF100,ARMS_Swedish_West_coast_Bjorko1_20200131_20200518,,2021-04-30 22:26:09.793413+00:00,2021-04-30 22:26:10.181877+00:00,133,36
