Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Date,Created,Updated
Koster,Sweden,VH1,2018-04-18,2019-05-27,ARMS_Koster_VH1_20180418_20190527,3,0,1329,117,2019-09-08 06:07:18.842127+00:00,2020-05-25 13:00:56.694855+00:00
Koster,Sweden,VH1,2020-07-16,2021-06-08,ARMS_Koster_VH1_20200716_20210608,0,0,0,19,2020-12-17 21:43:42.649404+00:00,2021-06-09 08:38:50.070779+00:00
Koster,Sweden,VH1,2019-05-27,2020-07-16,ARMS_Koster_VH1_20190527_20200716,3,11,580,36,2019-09-08 06:08:06.727959+00:00,2021-12-09 13:33:14.757759+00:00
Koster,Sweden,VH3,2018-04-18,2019-05-27,ARMS_Koster_VH3_20180418_20190527,2,0,494,109,2019-09-08 06:01:15.734246+00:00,2020-05-25 13:01:10.097869+00:00
Koster,Sweden,VH3,2020-07-16,2021-06-08,ARMS_Koster_VH3_20200716_20210608,0,0,0,24,2020-12-17 22:27:25.377627+00:00,2021-06-09 08:40:46.442938+00:00
Koster,Sweden,VH3,2019-05-27,2020-07-16,ARMS_Koster_VH3_20190527_20200716,3,0,398,31,2019-09-08 06:01:42.410746+00:00,2020-12-18 10:27:44.642839+00:00
Koster,Sweden,VH2,2019-05-27,2020-07-16,ARMS_Koster_VH2_20190527_20200716,3,0,651,27,2019-09-06 20:28:15.996768+00:00,2020-12-18 10:27:24.875785+00:00
Koster,Sweden,VH2,2018-04-18,2018-09-06,ARMS_Koster_VH2_20180418_20180906,5,0,510,76,2019-09-03 10:20:29.758439+00:00,2021-04-30 23:39:53.062975+00:00
Koster,Sweden,VH2,2020-07-16,2021-06-08,ARMS_Koster_VH2_20200716_20210608,0,0,0,23,2020-12-17 22:10:08.967809+00:00,2021-11-17 14:52:08.937599+00:00
Roscoff,France,BasBloS1,2018-07-11,2018-10-25,ARMS_Roscoff_BasBloS1_20180711_20181025,0,0,0,0,2019-11-05 14:05:37.058266+00:00,2019-12-04 17:11:11.439414+00:00
Roscoff,France,BasBloS1,2019-06-12,2020-05-27,ARMS_Roscoff_BasBloS1_20190612_20200527,0,0,0,0,2019-11-05 14:07:01.705894+00:00,2020-12-15 10:08:32.394060+00:00
Roscoff,France,BasBloS1,2020-05-29,2021-05,ARMS_Roscoff_BasBloS1_20200529_00000000,0,0,0,0,2020-12-15 10:09:36.715437+00:00,2020-12-15 10:09:36.854712+00:00
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,0,0,0,18,2019-11-05 14:08:27.745786+00:00,2019-12-04 17:02:36.081310+00:00
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,0,0,0,18,2019-11-05 14:08:47.120181+00:00,2019-12-04 17:03:45.579676+00:00
Roscoff,France,MarBloR1,2020-06-12,2020-09-08,ARMS_Roscoff_MarBloR1_20200612_20200908,0,0,0,0,2020-12-15 09:54:46.012723+00:00,2020-12-15 09:54:46.215293+00:00
Roscoff,France,MarBloR3,2019-06-12,2019-09-18,ARMS_Roscoff_MarBloR3_20190612_20190918,0,0,0,18,2019-11-25 09:09:40.943624+00:00,2020-12-15 10:02:48.427349+00:00
Roscoff,France,MarBloR3,2020-06-12,2020-09-10,ARMS_Roscoff_MarBloR3_20200612_20200910,0,0,0,0,2020-12-15 10:02:15.532161+00:00,2020-12-15 10:02:15.710553+00:00
Roscoff,France,MarBloR2,2019-06-12,2019-09-17,ARMS_Roscoff_MarBloR2_20190612_20190917,0,0,0,18,2019-11-25 09:08:29.850964+00:00,2019-12-04 17:05:17.018113+00:00
Roscoff,France,MarBloR2,2020-06-12,2020-09-09,ARMS_Roscoff_MarBloR2_20200612_20200909,0,0,0,0,2020-12-15 09:59:32.452136+00:00,2020-12-15 09:59:32.667372+00:00
Roscoff,France,BasBloS3,2019-06-12,2020-05-29,ARMS_Roscoff_BasBloS3_20190612_20200529,0,0,0,0,2019-11-25 09:56:12.842883+00:00,2020-12-15 10:14:52.686834+00:00
Roscoff,France,BasBloS3,2020-05-29,2021-05,ARMS_Roscoff_BasBloS3_20200529_00000000,0,0,0,0,2020-12-15 12:20:25.302579+00:00,2020-12-15 12:20:25.520827+00:00
Roscoff,France,BasBloS2,2020-05-29,2021-05,ARMS_Roscoff_BasBloS2_20200529_00000000,0,0,0,0,2020-12-15 10:13:52.012433+00:00,2020-12-15 10:13:52.163238+00:00
Roscoff,France,BasBloS2,2019-06-12,2020-05-28,ARMS_Roscoff_BasBloS2_20190612_20200528,0,0,0,0,2019-11-25 09:55:01.461030+00:00,2020-12-15 10:12:08.326621+00:00
Plymouth,United Kingdom,MBA2,2018-07-01,2018-10-01,ARMS_Plymouth_MBA2_20180701_20181001,0,0,0,27,2019-11-05 12:32:33.975595+00:00,2022-01-24 16:06:57.351640+00:00
Plymouth,United Kingdom,MBA1,2018-07-01,2018-10-01,ARMS_Plymouth_MBA1_20180701_20181001,0,0,0,24,2019-11-05 12:37:00.750538+00:00,2022-01-24 16:14:47.519144+00:00
Plymouth,United Kingdom,MBA1A,2020-07-17,2020-09-21,ARMS_Plymouth_MBA1A_20200717_20200921,0,0,0,17,2020-09-15 12:04:09.005509+00:00,2020-12-16 10:56:19.524160+00:00
Plymouth,United Kingdom,MBA1A,2019-07-16,2019-09-16,ARMS_Plymouth_MBA1A_20190716_20190916,0,0,0,21,2019-11-22 11:08:55.471768+00:00,2022-01-24 15:58:55.322251+00:00
Plymouth,United Kingdom,MBA1B,2019-07-16,2019-09-18,ARMS_Plymouth_MBA1B_20190716_20190918,0,0,0,25,2019-11-22 11:10:26.072197+00:00,2022-01-24 15:52:14.465953+00:00
Plymouth,United Kingdom,MBA1B,2020-07-17,2020-09-22,ARMS_Plymouth_MBA1B_20200717_20200922,0,0,0,18,2020-09-15 12:14:26.794693+00:00,2020-12-16 11:55:20.126430+00:00
Plymouth,United Kingdom,MBA1C,2020-07-17,2020-09-23,ARMS_Plymouth_MBA1C_20200717_20200923,0,0,0,18,2020-09-15 12:18:22.100713+00:00,2020-12-16 13:04:41.735490+00:00
Plymouth,United Kingdom,MBA1C,2019-07-16,2019-09-20,ARMS_Plymouth_MBA1C_20190716_20190920,0,0,0,24,2019-11-22 11:11:31.958263+00:00,2022-01-24 15:44:17.417715+00:00
Gulf_of_FInland_TZS,Finland,Spikarna,2020-06-08,2020-11-18,ARMS_Gulf_of_FInland_TZS_Spikarna_20200608_20201118,0,0,0,114,2020-11-27 07:22:59.978017+00:00,2021-01-13 13:51:07.814600+00:00
Gulf_of_FInland_TZS,Finland,Spikarna,2018-07-11,2018-11-07,ARMS_Gulf_of_FInland_TZS_Spikarna_20180711_20181107,0,0,0,111,2019-11-11 14:09:44.182609+00:00,2020-12-19 19:56:35.407379+00:00
Gulf_of_FInland_TZS,Finland,Angbat,2020-06-08,2020-11-17,ARMS_Gulf_of_FInland_TZS_Angbat_20200608_20201117,0,0,0,109,2020-11-27 07:21:55.898532+00:00,2021-01-13 13:41:17.807523+00:00
Gulf_of_FInland_TZS,Finland,Angbat,2018-07-11,2018-11-06,ARMS_Gulf_of_FInland_TZS_Angbat_20180711_20181106,0,0,0,105,2019-11-11 14:11:05.199170+00:00,2020-12-19 19:55:28.355313+00:00
Gulf_of_FInland_TZS,Finland,Kummelkobben,2020-06-08,2020-11-20,ARMS_Gulf_of_FInland_TZS_Kummelkobben_20200608_20201120,0,0,0,107,2020-11-30 09:30:58.146143+00:00,2022-01-24 17:36:38.179795+00:00
Svalbard,Norway,S2,2018-07-08,2019-08-05,ARMS_Svalbard_S2_20180708_20190805,0,0,0,194,2019-11-11 16:55:52.757700+00:00,2021-11-26 16:51:39.509963+00:00
Svalbard,Norway,S2,2019-08-05,2020-08-01,ARMS_Svalbard_S2_20190805_20200801,0,0,0,294,2019-11-11 16:59:47.339295+00:00,2021-12-02 12:48:46.198515+00:00
Svalbard,Norway,S1,2020-08-05,2021-08,ARMS_Svalbard_S1_20200805_00000000,0,0,0,0,2020-12-16 22:24:16.274680+00:00,2020-12-16 22:25:05.637797+00:00
Svalbard,Norway,S1,2019-08-06,2020-08-04,ARMS_Svalbard_S1_20190806_20200804,0,0,0,321,2019-11-11 16:58:16.573486+00:00,2021-12-06 12:08:29.255304+00:00
Svalbard,Norway,S1,2018-07-06,2019-08-06,ARMS_Svalbard_S1_20180706_20190806,0,0,0,197,2019-11-11 16:54:02.274317+00:00,2021-11-26 16:52:27.003910+00:00
Svalbard,Norway,S1A,2020-08-04,2022-08,ARMS_Svalbard_S1A_20200804_00000000,0,0,0,0,2020-09-12 13:55:54.618637+00:00,2021-12-17 15:19:57.167174+00:00
Svalbard,Norway,S1B,2020-08-04,2022-08,ARMS_Svalbard_S1B_20200804_00000000,0,0,0,0,2020-09-12 13:56:58.978962+00:00,2021-12-17 15:20:43.868073+00:00
Svalbard,Norway,S1C,2020-08-04,2022-08,ARMS_Svalbard_S1C_20200804_00000000,0,0,0,0,2020-09-12 13:57:54.624651+00:00,2021-12-17 15:19:25.714815+00:00
Rothera,Antarctica,SouthCove1,2019-08-29,2021-01,ARMS_Rothera_SouthCove1_20190829_00000000,0,0,0,0,2019-11-11 12:53:44.346193+00:00,2020-04-27 08:57:16.541855+00:00
Rothera,Antarctica,HangarCove2,2019-07-08,2021-01,ARMS_Rothera_HangarCove2_20190708_00000000,0,0,0,0,2019-11-11 11:55:52.360593+00:00,2020-04-27 08:52:42.919401+00:00
Rothera,Antarctica,HangarCove1,2019-07-08,2021-01,ARMS_Rothera_HangarCove1_20190708_00000000,0,0,0,5,2019-11-11 11:10:25.946894+00:00,2020-04-27 08:53:09.346463+00:00
Rothera,Antarctica,Cheshire1,2019-12-10,2021-01,ARMS_Rothera_Cheshire1_20191210_00000000,0,0,0,0,2019-11-11 12:54:25.536965+00:00,2020-04-27 08:59:34.634192+00:00
Rothera,Antarctica,HangarCove3,2019-07-08,2021-01,ARMS_Rothera_HangarCove3_20190708_00000000,0,0,0,0,2019-11-11 12:52:54.570173+00:00,2020-04-27 08:58:16.257664+00:00
Belgium,Belgium,AZFPout,2018-07-12,2018-08-18,ARMS_Belgium_AZFPout_20180712_20180818,0,0,0,124,2019-11-11 17:24:07.663910+00:00,2022-03-25 14:18:56.036366+00:00
Belgium,Belgium,AZBW1,2019-09-24,2020-03-03,ARMS_Belgium_AZBW1_20190924_20200303,0,0,0,1,2020-05-12 11:39:10.861338+00:00,2022-03-25 14:19:46.370101+00:00
Belgium,Belgium,AJJC81,2020-05-06,2020-10-12,ARMS_Belgium_AJJC81_20200506_20201012,0,0,0,36,2020-09-25 10:56:43.886220+00:00,2022-03-25 14:15:59.998460+00:00
Belgium,Belgium,AJJC86,2020-05-06,2020-10-12,ARMS_Belgium_AJJC86_20200506_20201012,0,0,0,34,2020-09-25 10:57:53.405589+00:00,2022-06-28 13:15:45.468486+00:00
Belgium,Belgium,AZBE1,2019-09-24,2020-03-03,ARMS_Belgium_AZBE1_20190924_20200303,0,0,0,38,2020-05-12 11:31:48.457533+00:00,2022-03-25 14:19:13.167911+00:00
Belgium,Belgium,CoastbustersA,2021-04-22,2021-10-08,ARMS_Belgium_CoastbustersA_20210422_20211008,0,0,0,18,2021-10-12 13:10:33.879527+00:00,2022-06-28 13:17:19.328622+00:00
Belgium,Belgium,AJJCD78,2021-02-25,2021-08-19,ARMS_Belgium_AJJCD78_20210225_20210819,0,0,0,18,2021-09-01 11:25:43.067226+00:00,2022-06-28 13:16:21.840881+00:00
Belgium,Belgium,AJJCD78,2020-05-06,2020-10-12,ARMS_Belgium_AJJCD78_20200506_20201012,0,0,0,36,2020-09-25 10:58:43.320445+00:00,2022-06-28 13:16:40.292936+00:00
Belgium,Belgium,BirkenfelsA,2020-06-17,2021-03-09,ARMS_Belgium_BirkenfelsA_20200617_20210309,0,0,0,36,2021-04-07 13:16:24.955584+00:00,2022-06-28 13:15:20.065583+00:00
Belgium,Belgium,BirkenfelsB,2020-06-17,2021-03-09,ARMS_Belgium_BirkenfelsB_20200617_20210309,0,0,0,36,2021-04-07 13:38:57.775054+00:00,2022-06-28 13:15:00.961108+00:00
